ind1,ind2,SRI.observed,year,dyad
ind21,ind71,0.293393057,2011,ind21_ind71
ind22,ind71,0.014905149,2011,ind22_ind71
ind23,ind71,0.059724349,2011,ind23_ind71
ind24,ind71,0.122558923,2011,ind24_ind71
ind25,ind71,0.104341737,2011,ind25_ind71
ind26,ind71,0.093695778,2011,ind26_ind71
ind27,ind71,0.104009297,2011,ind27_ind71
ind28,ind71,0.097278518,2011,ind28_ind71
ind29,ind71,0.068561873,2011,ind29_ind71
ind30,ind71,0,2011,ind30_ind71
ind31,ind71,0.134328358,2011,ind31_ind71
ind32,ind71,0,2011,ind32_ind71
ind33,ind71,0,2011,ind33_ind71
ind34,ind71,0.039438503,2011,ind34_ind71
ind35,ind71,0.002239642,2011,ind35_ind71
ind36,ind71,0.130434783,2011,ind36_ind71
ind37,ind71,0.157093426,2011,ind37_ind71
ind38,ind71,0.014007308,2011,ind38_ind71
ind39,ind71,0,2011,ind39_ind71
ind40,ind71,0.067286652,2011,ind40_ind71
ind41,ind71,0.003835091,2011,ind41_ind71
ind42,ind71,0.109223301,2011,ind42_ind71
ind43,ind71,0.01674179,2011,ind43_ind71
ind44,ind71,0.053285968,2011,ind44_ind71
ind45,ind71,0.047188106,2011,ind45_ind71
ind46,ind71,0,2011,ind46_ind71
ind47,ind71,0.01710171,2011,ind47_ind71
ind48,ind71,0.014255167,2011,ind48_ind71
ind49,ind71,0,2011,ind49_ind71
ind50,ind71,0.094059406,2011,ind50_ind71
ind51,ind71,0.006144393,2011,ind51_ind71
ind52,ind71,0.015424165,2011,ind52_ind71
ind53,ind71,0.095626822,2011,ind53_ind71
ind54,ind71,0.01972873,2011,ind54_ind71
ind55,ind71,0,2011,ind55_ind71
ind56,ind71,0,2011,ind56_ind71
ind57,ind71,0,2011,ind57_ind71
ind58,ind71,0,2011,ind58_ind71
ind59,ind71,0,2011,ind59_ind71
ind60,ind71,0.001716738,2011,ind60_ind71
ind61,ind71,0.218793829,2011,ind61_ind71
ind63,ind71,0.087202718,2011,ind63_ind71
ind64,ind71,0.078982597,2011,ind64_ind71
ind65,ind71,0.004683841,2011,ind65_ind71
ind66,ind71,0.001552795,2011,ind66_ind71
ind67,ind71,0,2011,ind67_ind71
ind68,ind71,0,2011,ind68_ind71
ind69,ind71,0.031408308,2011,ind69_ind71
ind70,ind71,0.008739076,2011,ind70_ind71
ind72,ind71,0.019033675,2011,ind71_ind72
ind73,ind71,0,2011,ind71_ind73
ind74,ind71,0.231839258,2011,ind71_ind74
ind75,ind71,0,2011,ind71_ind75
ind76,ind71,0.051759834,2011,ind71_ind76
ind77,ind71,0.01663586,2011,ind71_ind77
ind78,ind71,0.100946372,2011,ind71_ind78
ind79,ind71,0,2011,ind71_ind79
ind80,ind71,0,2011,ind71_ind80
ind81,ind71,0,2011,ind71_ind81
ind82,ind71,0,2011,ind71_ind82
ind83,ind71,0,2011,ind71_ind83
ind84,ind71,0,2011,ind71_ind84
ind85,ind71,0.002439024,2011,ind71_ind85
ind86,ind71,0,2011,ind71_ind86
ind87,ind71,0.094982079,2011,ind71_ind87
ind88,ind71,0.106608479,2011,ind71_ind88
ind89,ind71,0,2011,ind71_ind89
ind90,ind71,0,2011,ind71_ind90
ind91,ind71,0.03250774,2011,ind71_ind91
ind92,ind71,0,2011,ind71_ind92
ind93,ind71,0.040449438,2011,ind71_ind93
ind94,ind71,0.046610169,2011,ind71_ind94
ind95,ind71,0.138519924,2011,ind71_ind95
ind96,ind71,0,2011,ind71_ind96
ind97,ind71,0,2011,ind71_ind97
ind98,ind71,0.008988764,2011,ind71_ind98
ind99,ind71,0,2011,ind71_ind99
ind100,ind71,0,2011,ind100_ind71
ind101,ind71,0,2011,ind101_ind71
ind102,ind71,0,2011,ind102_ind71
ind103,ind71,0,2011,ind103_ind71
ind1,ind5,0.064449064,2011,ind1_ind5
ind2,ind5,0.079276773,2011,ind2_ind5
ind3,ind5,0.030821918,2011,ind3_ind5
ind4,ind5,0.069364162,2011,ind4_ind5
ind6,ind5,0.09375,2011,ind5_ind6
