Year,Dyad,SRI observed,SRI expected,Home range overlap
2017,Ind25_Ind14,0.153715396,0.053504259,0.90009792
2017,Ind25_Ind22,0.430449827,0.0986785,0.925437485
2017,Ind25_Ind12,0.181709073,0.052866381,0.842529648
2017,Ind15_Ind25,0.176766467,0.111335565,0.874098894
2017,Ind25_Ind34,0.164717349,0.142506736,0.912039656
2017,Ind25_Ind20,0.108331309,0.119576226,0.789658008
2017,Ind24_Ind25,0.589456869,0.111294313,0.971496192
2017,Ind1_Ind23,0.022310046,0.172151327,0.572124466
2017,Ind5_Ind23,0.023311897,0.053022142,0.579843102
2017,Ind6_Ind23,0.021506745,0.054184814,0.571150731
2017,Ind3_Ind23,0.032160942,0.192212611,0.561052017
2017,Ind9_Ind23,0.019307386,0.176337847,0.577317872
2017,Ind7_Ind23,0.022888057,0.172442199,0.580923266
2017,Ind2_Ind23,0.02543235,0.053800505,0.572024283
2017,Ind4_Ind23,0.025072725,0.175878267,0.562082835
2017,Ind8_Ind23,0.028404953,0.186609019,0.582465783
2017,Ind10_Ind23,0.280184332,0.174785675,0.888948975
2017,Ind19_Ind23,0.140766551,0.165710776,0.79293944
2017,Ind14_Ind23,0.233554817,0.062978365,0.908543221
2017,Ind22_Ind23,0.412972085,0.122924296,0.965590676
2017,Ind12_Ind23,0.228652751,0.060750199,0.886984183
2017,Ind15_Ind23,0.223169192,0.139225038,0.893553698
2017,Ind34_Ind23,0.153869874,0.185399119,0.915909989
2017,Ind20_Ind23,0.172264716,0.148928613,0.832350272
2017,Ind24_Ind23,0.390009381,0.136885848,0.946435602
2017,Ind25_Ind23,0.404216315,0.135997584,0.935150376
2017,Ind1_Ind11,0.028769549,0.203684193,0.560145494
2017,Ind11_Ind5,0.028393136,0.099371397,0.567846893
2017,Ind6_Ind11,0.027070767,0.102516533,0.562381736
2017,Ind11_Ind3,0.038861347,0.234559592,0.55333889
2017,Ind11_Ind9,0.026363969,0.317292773,0.557434764
2017,Ind11_Ind7,0.032300163,0.316906058,0.568169298
2017,Ind11_Ind2,0.032210619,0.102043792,0.56303577
2017,Ind11_Ind4,0.033002764,0.306820369,0.549218476
2017,Ind11_Ind8,0.037655017,0.200838079,0.570765856
2017,Ind11_Ind10,0.498319731,0.211189897,0.951869597
2017,Ind11_Ind19,0.309048179,0.279622784,0.871381064
2017,Ind11_Ind14,0.348331648,0.101312061,0.826048173
2017,Ind11_Ind22,0.232634731,0.154010963,0.87370755
2017,Ind11_Ind12,0.32601588,0.109225435,0.916734078
2017,Ind15_Ind11,0.354885057,0.191413313,0.885558628
2017,Ind11_Ind34,0.112670243,0.238774111,0.821675309
2017,Ind11_Ind20,0.327087794,0.168603145,0.899614637
2017,Ind11_Ind24,0.206674907,0.135595405,0.815876374
2017,Ind11_Ind25,0.196609371,0.146445308,0.805720351
2017,Ind11_Ind23,0.268109125,0.192359506,0.862118143
2017,Ind1_Ind28,0.025227164,0.061831252,0.578747586
2017,Ind5_Ind28,0.02425,0.323379921,0.586693686
2017,Ind6_Ind28,0.02117787,0.325689801,0.579482999
2017,Ind3_Ind28,0.030673285,0.06649181,0.567314002
2017,Ind9_Ind28,0.02067403,0.130331987,0.586076169
2017,Ind28_Ind7,0.024150846,0.137659055,0.587818106
2017,Ind2_Ind28,0.020359848,0.322659867,0.577562999
2017,Ind4_Ind28,0.023938224,0.123013451,0.568472525
2017,Ind8_Ind28,0.030907278,0.054120033,0.589562476
2017,Ind10_Ind28,0.190272177,0.066776069,0.849200608
2017,Ind19_Ind28,0.088068182,0.109564991,0.766360498
2017,Ind14_Ind28,0.163849509,0.229247159,0.89896491
2017,Ind22_Ind28,0.428321678,0.057170446,0.941643913
2017,Ind12_Ind28,0.194138209,0.313197022,0.8563839
2017,Ind15_Ind28,0.173153296,0.061204509,0.875902467
2017,Ind34_Ind28,0.20324748,0.069270979,0.918000398
2017,Ind20_Ind28,0.114114114,0.04966881,0.795661169
2017,Ind24_Ind28,0.493434692,0.035129364,0.97921974
2017,Ind25_Ind28,0.497647322,0.049434987,0.973767155
2017,Ind28_Ind23,0.396487757,0.055694678,0.947589146
2017,Ind11_Ind28,0.178882624,0.100707784,0.818987163
2017,Ind1_Ind30,0.025992608,0.180946644,0.57972031
2017,Ind30_Ind5,0.02646031,0.130847479,0.587683286
2017,Ind6_Ind30,0.022557284,0.133319123,0.580451119
2017,Ind30_Ind3,0.032258065,0.20771616,0.568260643
2017,Ind30_Ind9,0.021306618,0.313598778,0.58707344
2017,Ind30_Ind7,0.025773196,0.31581564,0.588810775
2017,Ind2_Ind30,0.025489034,0.133125872,0.578524982
2017,Ind30_Ind4,0.026742093,0.300660606,0.569426837
2017,Ind30_Ind8,0.031436135,0.173411053,0.590567419
2017,Ind30_Ind10,0.182632496,0.189091824,0.845856463
2017,Ind30_Ind19,0.09039548,0.271725638,0.773102872
2017,Ind30_Ind14,0.150695931,0.115308757,0.91439714
